PIAS1
NFYC
RPL27
RPL10
RPL18
RNF11
SDCBP
BNIP3L
EIF4B
ATF7IP
RPL10A
CKS2
SLC25A3
SLC25A6
IFI16
SH3BP1
IFI35
IFI27
IFI44
SERPING1
AP3D1
EIF2AK2
PTPRCAP
ICAM2
IFIT1
IFIT3
FXR1
PURA
IFI44L
MX2
MX1
OTOF
PARP12
AKT1
ERGIC2
IL12RB1
SIGLEC1
NRG1
HERC5
HERC6
SMARCA4
EEF1B2
PFDN5
HESX1
RSAD2
BRD2
SP110
USP18
SORL1
APOBEC3C
MSRA
EEF1G
BTF3
SETX
SERBP1
COX4I1
PCBP2
NCOA3
LGALS3BP
UBA52
CYP27A1
QARS
SAMD9
EBAG9
KCTD13
PABPC3
LIMD2
ATP5E
TNK2
RHOA
LY6E
TRIM38
TRIM22
TRIM14
SMG7
USP1
OASL
OAS1
OAS2
OAS3
ZBP1
IRF2
IRF7
PFKP
TOMM20
SPOP
YBX1
EIF1
CXXC1
CD44
ISG15
RPL4
RPL5
RPL3
RPL9
RPL7
ST13
RPS3
RPS2
RPS7
